Part Num	Mfg Name	VID	Vendor Part Num	Description
0ZCG0110FF2C	BEL FUSE INC	*	0ZCG0110FF2C	PTC RESETTBLE 1.10A 8V CHIP 1812
0ZCG0150BF2C	BEL FUSE INC	*	0ZCG0150BF2C	PTC RESTTBLE 1.50A 24V CHIP 1812
11A009-1702-00	MENTECH	*	11A009-1702-00	CONN MAGJACK 1PORT 100 BASE-T
2SC4081	ROHM SEMICONDUCTOR	*	2SC4081T106	TRANS NPN 50V 0.15A SOT-323
74LVC1G125DCK	TEXAS INSTRUMENTS	*	74LVC1G125DCK	IC BUFF/DVR TRI-ST N-INV SC705
ACA-5036-A2-CC-S	INPAQ TECHNOLOGY	*	ACA-5036-A2-CC-S	2.4GHZ CERAMIC CHIP ANTENNA
AP2302GN	ANPEC	*	AP2302GN	MOSFET N-CH 20V 2.8A SOT-23
APM2301	ANPEC	*	APM2301	MOSFET P-CH 20V 2.8A SOT-23
ATMEGA32U4-MU	ATMEL	*	ATMEGA32U4-MU	IC MCU 8BIT 32KB FLASH 44QFN
AU6350-MGL	ALCOR MICRO	*	AU6350-MGL	IC 3-PORT USB HUB CARD COMBO CTRLR 48-LQFP
B50(27-51)FP4-151-A613-B12	BROADTOP ELECTRONIC	*	B50(27-51)FP4-151-A613-B12	CONN MAGJACK 1PORT 100 BASE-T
B59(57-02)F4-03-1212-C12	BROADTOP ELECTRONIC	*	B59(57-02)F4-03-1212-C12	CONN MAGJACK 2PORT 100 BASE-T
BLM31PG601SN1L	MURATA	*	BLM31PG601SN1L	FERRITE CHIP 600 OHM 1500MA 1206
C2-5x7_220u_ALU_20%_RAD_6V3	ANY	*	C2-5x7_220u_ALU_20%_RAD_6V3	CAP ALUM 220UF 6.3V 20% RADIAL
C0402_1n_X7R_10%_CER_50V	ANY	*	C0402_1n_X7R_10%_CER_50V	CAP CER 1NF 50V 10% X7R 0402
C0402_1u_X7R_10%_CER_25V	ANY	*	C0402_1u_X7R_10%_CER_25V	CAP CER 1UF 25V 10% X7R 0402
C0402_4u7_X5R_10%_CER_6V3	ANY	*	C0402_4u7_X5R_10%_CER_6V3	CAP CER 4.7UF 6.3V 10% X5R 0402
C0402_10n_X7R_10%_CER_50V	ANY	*	C0402_10n_X7R_10%_CER_50V	CAP CER 10000PF 50V 10% X7R 0402
